station_id,original_station_id,station_name,latitude,longitude,_total_elements,_unique_feature_types,aeroway,amenity,barrier,boundary,building,craft,emergency,healthcare,highway,historic,industrial,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,shop,sport,tourism,water,waterway
TN005,site_5094,"SIDCO Kurichi, Coimbatore - TNPCB",10.942451,76.978996,22953,6,,"college,fuel",gate,administrative,,,,,"residential,service,tertiary,trunk,unclassified",,,industrial,,,,,,,,,rail,,,,,
DL034,site_119,"Sirifort, Delhi - CPCB",28.5504249,77.2159377,11277,18,,"bench,cafe,charging_station,clinic,college,conference_centre,fast_food,fountain,fuel,ice_cream,parking,place_of_worship,restaurant,school,shelter,social_facility,studio,theatre,toilets,university,waste_basket","bollard,city_wall,cycle_barrier,entrance,fence,gate,lift_gate,wall",administrative,"apartments,college,house,residential,roof,school","carpenter,electronics_repair,handicraft,tailor",,clinic,"bus_stop,crossing,footway,path,residential,secondary,secondary_link,service,steps,tertiary,traffic_signals,unclassified",,,"civic,commercial,education,grass,residential","dog_park,fitness_centre,golf_course,park,picnic_table,pitch,sports_centre,swimming_pool","antenna,flagpole,mast,surveillance,tower,water_tap",,tree,"company,diplomatic,government,lawyer","neighbourhood,suburb","pole,substation",platform,,"art,bakery,beauty,boutique,clothes,electrical,hairdresser,jewelry,laundry,pastry,tea,toys","basketball,cricket,soccer,squash;badminton,tennis,volleyball","gallery,museum",,
DL017,site_5395,"Lodhi Road, Delhi - IITM",28.588333,77.221667,12472,20,,"arts_centre,atm,bank,bar,bicycle_rental,cafe,charging_station,community_centre,drinking_water,fast_food,food_court,fountain,hospital,language_school,library,marketplace,parking,pharmacy,place_of_worship,police,post_office,restaurant,school,taxi,theatre,toilets,waste_basket","fence,gate,kerb,lift_gate,wall",administrative,"apartments,commercial,greenhouse,house,office,residential,roof",sculptor,fire_hydrant,,"bus_stop,crossing,elevator,footway,living_street,residential,secondary,service,steps,street_lamp,tertiary,traffic_signals,unclassified","memorial,monument,tomb",,"commercial,cultural_centre,forest,grass,institutional,religious,residential","garden,outdoor_seating,park,pitch,swimming_pool","mast,pumping_station,surveillance,tower,water_tap",,"tree,tree_row,water","association,company,diplomatic,government,ngo",neighbourhood,generator,platform,,"bakery,bicycle,books,convenience,dairy,florist",tennis,"artwork,attraction",pond,
MH014,site_5115,"Worli, Mumbai - MPCB",18.9936162,72.8128113,312159,18,,"cafe,crematorium,fast_food,fuel,planetarium,school",gate,"administrative,administrative_cooperation,local_authority","apartments,commercial,construction,office,residential,roof",,,,"bus_stop,crossing,cycleway,footway,motorway,primary,primary_link,residential,secondary,service,steps,traffic_signals,turning_circle",,,"commercial,grass,industrial,recreation_ground,residential","garden,park,stadium,swimming_pool","breakwater,bridge,chimney,pier,reservoir_covered,wastewater_plant,water_works",,"bare_rock,coastline,tree,water","financial,government","island,locality,neighbourhood,sea,state",,"platform,station,stop_area,stop_position","station,stop,subway",mall,"horse_racing,swimming","attraction,museum",canal,"drain,lock_gate"
TN004,site_288,"Velachery Res. Area, Chennai - CPCB",13.0052189,80.2398125,12305,17,,"atm,bench,bicycle_parking,cafe,college,drinking_water,hospital,library,parking,parking_space,place_of_worship,restaurant,theatre,toilets,university","block,gate,hedge,lift_gate,median,wall","administrative,national_park,water_distribution","apartments,house,office,residential,temple,university",,,hospital,"bus_stop,crossing,footway,living_street,path,primary,primary_link,residential,secondary,service,track,traffic_signals",,,"commercial,grass,hospital,reservoir,retail","garden,park,pitch,playground","storage_tank,surveillance",,"water,wood",,neighbourhood,,"platform,stop_position",,"stationery,tea","cricket,racquet,tennis","apartment,artwork,attraction,zoo","lake,pond",stream
TN002,site_5092,"Manali Village, Chennai - TNPCB",13.1662,80.2584,3433,11,,"bus_station,clinic,college,dentist,hospital,pharmacy,restaurant","gate,wall","administrative,water_distribution",,,,"centre,clinic,dentist,hospital,pharmacy","living_street,path,residential,secondary,service,tertiary",,,"industrial,residential",resort,,,water,,"neighbourhood,suburb",,station,,,,,"lake,pond,reservoir",
DL008,site_118,"DTU, Delhi - CPCB",28.7500499,77.1112615,5545,12,,"conference_centre,university",gate,"administrative,political",,,,,"footway,path,residential,secondary,service,tertiary",,,"industrial,recreation_ground,residential","park,pitch,sports_centre","flagpole,mast",,"tree_row,water",,locality,,,,,"badminton,tennis",hostel,lake,
DL012,site_106,"IGI Airport (T3), Delhi - IMD",28.5627763,77.1180053,5377,13,"aerodrome,apron,gate,hangar,holding_position,jet_bridge,navigationaid,parking_position,runway,stopway,taxiway,terminal,windsock","atm,cafe,parking",wall,administrative,,,,,"bus_stop,elevator,footway,residential,service,tertiary,tertiary_link",,,"grass,military,residential",,mast,,,lost_property,,,"platform,station,stop_area,stop_position","construction,proposed,station,stop,subway,subway_entrance","coffee,ticket",,hotel,,drain
DL030,site_107,"Pusa, Delhi - IMD",28.63611,77.173332,12764,13,,"bus_station,clinic,college,fire_station,fuel,hospital,research_institute,school","bollard,gate,lift_gate","administrative,political","auditorium,commercial,industrial",,,hospital,"bus_stop,footway,path,residential,secondary,secondary_link,service,steps,tertiary,tertiary_link,traffic_signals",,,"education,residential","common,nature_reserve,park",water_tower,,scrub,"educational_institution,government",,,"platform,station",,convenience,,,,
DL004,site_108,"Aya Nagar, Delhi - IMD",28.4706914,77.1099364,16015,6,,,"gate,lift_gate,wall","administrative,political",,,,,"bus_stop,path,primary,primary_link,residential,secondary,service,track,traffic_signals",,,"forest,residential",park,,,,,,,platform,,,,,,
DL017,site_109,"Lodhi Road, Delhi - IMD",28.5918245,77.2273074,15439,20,,"arts_centre,atm,charging_station,college,community_centre,conference_centre,food_court,fountain,fuel,parking,place_of_worship,police,restaurant,school,theatre,toilets,waste_basket","fence,gate,lift_gate,wall,wicket_gate",administrative,"apartments,commercial,residential,roof,school",sculptor,fire_hydrant,,"bus_stop,crossing,elevator,footway,residential,secondary,secondary_link,service,steps,street_lamp,tertiary,traffic_signals","aircraft,memorial",,"commercial,cultural_centre,grass,residential","fitness_station,garden,outdoor_seating,park,pitch,playground,swimming_pool,track","flagpole,surveillance,tower",,"tree,tree_row,water","association,company,diplomatic,government,ngo",neighbourhood,,platform,subway,,"basketball,cricket,fitness,running,skateboard,tennis,volleyball",hostel,pond,drain
DL014,site_117,"ITO, Delhi - CPCB",28.628624,77.24106,113388,19,,"arts_centre,atm,bank,bicycle_rental,college,courthouse,grave_yard,hospital,kindergarten,library,music_school,parking,place_of_worship,police,school,shelter,theatre,toilets,university","gate,kerb,motorcycle_barrier,swing_gate,wall",administrative,"college,commercial,detached,dormitory,office,public,roof",,,,"bus_stop,crossing,elevator,footway,living_street,path,residential,secondary,secondary_link,service,steps,traffic_signals,trunk_link,unclassified",,,"commercial,education,institutional,railway,recreation_ground,residential","garden,park,pitch,playground,swimming_pool","bridge,charge_point,surveillance",,"tree,water,wood","association,government,ngo,political_party,religion",neighbourhood,generator,"platform,station,stop_area,stop_position","level_crossing,miniature,platform,proposed,rail,station,stop,subway,subway_entrance,switch",alcohol,"basketball,gymnastics,volleyball","attraction,hostel,museum",pond,drain
DL007,site_103,"CRRI Mathura Road, Delhi - IMD",28.5512005,77.2735737,121649,16,,"bank,cafe,fuel,parking,parking_space,restaurant","gate,lift_gate,wall",administrative,"apartments,dormitory,kiosk,university",,,,"bus_stop,elevator,footway,living_street,residential,service,steps,tertiary,trunk,trunk_link,unclassified",,,"construction,depot,education,industrial,residential","park,pitch",wastewater_plant,,"water,wood",government,neighbourhood,,platform,"rail,switch","convenience,electronics,sports","basketball,cricket,soccer,tennis",,wastewater,
DL025,site_105,"North Campus, DU, Delhi - IMD",28.6573814,77.1585447,19434,14,,"atm,bank,charging_station,recycling","gate,wall","administrative,political",commercial,electrician,,,"bus_stop,footway,living_street,path,residential,secondary,service,tertiary",,,"garages,industrial,railway,residential",park,,,,,neighbourhood,,"platform,station,stop_area,stop_position","platform,rail,station,subway","dairy,interior_decoration,optician",,"guest_house,museum",,drain
DL013,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",28.6811736,77.3025234,7280,13,,"atm,drinking_water,hospital,mortuary,parking,place_of_worship,police,shelter,toilets","gate,wall",administrative,"hospital,mosque,public,retail,storage_tank,toilets",,,hospital,"footway,path,residential,secondary,secondary_link,service,tertiary,unclassified",,,"grass,hospital,residential","garden,park,pitch","pumping_station,reservoir_covered,storage_tank",,,,,generator,,"rail,technical_station","beverages,convenience",,"artwork,hostel,hotel",,
DL033,site_113,"Shadipur, Delhi - CPCB",28.6514781,77.1473105,21700,12,,"atm,bank,events_venue,hospital,pub,research_institute","gate,lift_gate,wall","administrative,political",train_station,,,,"bus_stop,living_street,residential,secondary,service,tertiary,track,unclassified",,,"farmland,industrial,residential,retail",park,,,,,neighbourhood,,"halt,platform,station,stop_area,stop_position","construction,halt,proposed,rail,station,stop,subway,subway_entrance",furniture,,,,drain
DL019,site_122,"Mandir Marg, Delhi - DPCC",28.636429,77.201067,16681,17,,"arts_centre,atm,bicycle_rental,clinic,community_centre,drinking_water,fuel,library,parking,place_of_worship,police,school,shelter,theatre,toilets","bollard,gate,kerb,wall",administrative,"apartments,church,commercial,public,residential,retail,roof,school,shed,temple",,,"centre,clinic,vaccination_centre","bus_stop,crossing,cycleway,footway,residential,secondary,secondary_link,service,steps,tertiary,tertiary_link,traffic_signals",building,,"commercial,place_of_worship,residential","fitness_station,nature_reserve,park,pitch,playground,swimming_pool","mast,monitoring_station",,"scrub,tree",political_party,,generator,platform,subway,"art,convenience","basketball,cricket;soccer,field_hockey,tennis",,,
DL031,site_124,"R K Puram, Delhi - DPCC",28.563262,77.186937,18958,20,,"Ayurvedic_Hospital,atm,bank,bench,clinic,community_centre,dentist,fast_food,fuel,hospital,kindergarten,parking,place_of_worship,post_office,restaurant,school,shelter,toilets",gate,administrative,"apartments,bungalow,commercial,construction,hotel,house,kindergarten,roof,school,temple",,,clinic,"bus_stop,crossing,footway,living_street,path,residential,secondary,secondary_link,service,steps,street_lamp,tertiary,tertiary_link,traffic_signals",memorial,,"commercial,education,grass,religious,residential","fitness_centre,park,pitch,playground,stadium,swimming_pool","mast,water_tower",,"grassland,tree,wood",government,neighbourhood,generator,platform,construction,"car,clothes,convenience,electrical,supermarket",tennis,"artwork,guest_house,hostel,hotel",,drain
DL028,site_125,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,18437,10,,"bank,blood_bank,college,fast_food,fuel,hospital,marketplace,parking,place_of_worship,police,restaurant,school","gate,wall","administrative,political","commercial,house",,,,"bus_stop,footway,living_street,primary,residential,service,tertiary,traffic_signals",,,"hospital,industrial,railway,residential","garden,park,pitch",,,,,,,"platform,station,stop_area,stop_position","buffer_stop,level_crossing,rail,station,stop,subway",,"basketball,volleyball",,,
HR014,site_146,"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,13217,10,,"clinic,courthouse,dentist,fuel,hospital,motorcycle_parking,parking,place_of_worship,police","gate,wall",administrative,,,,"dentist,hospital","footway,living_street,motorway,motorway_link,primary,residential,secondary,service,tertiary",,,"commercial,military,residential",park,,,,government,suburb,,,,motorcycle_repair,,,,
MH005,site_168,"Bandra, Mumbai - MPCB",19.0627,72.84614,65289,18,,"atm,bank,bench,bus_station,clinic,college,community_centre,dentist,fast_food,hospital,kindergarten,money_transfer,parking,pharmacy,place_of_worship,police,post_office,restaurant,school,toilets,university",gate,administrative,"apartments,commercial,construction,hospital,house,office,place_of_worship,residential,school,temple,train_station",,,"centre,clinic,dentist,hospital,pharmacy","bus_stop,footway,living_street,motorway,motorway_link,path,primary,residential,service,steps,tertiary,tertiary_link,traffic_signals",,,"commercial,construction,education,meadow,railway,recreation_ground,residential","park,pitch,playground,sports_centre,swimming_pool",pipeline,,"scrub,tree","government,ngo","locality,neighbourhood,suburb",,"platform,station,stop_area","buffer_stop,level_crossing,platform,rail,station,subway,switch","alcohol,car_repair,chemist,confectionery,convenience,dairy,doityourself,dry_cleaning,electronics,gas,general,greengrocer,hairdresser,jewelry,pastry,pet,photo,stationery,supermarket","cricket,cricket;swimming;running;badminton;billiards;table_tennis","apartment,artwork,hostel",,drain
KA003,site_164,"BWSSB Kadabesanahalli, Bengaluru - CPCB",12.9352049,77.6814488,134366,17,,"atm,blood_bank,cafe,dentist,hospital,parking,pharmacy,place_of_worship,post_office,restaurant,school","gate,lift_gate",administrative,"apartments,commercial,construction,hospital,hotel,office,residential,roof,terrace",,,"dentist,hospital,pharmacy","construction,crossing,elevator,footway,path,proposed,residential,service,street_lamp,tertiary,tertiary_link,track,trunk,trunk_link,unclassified",,,"cemetery,commercial,construction,orchard,recreation_ground,residential","garden,park,pitch,sports_centre,sports_hall,swimming_pool","bridge,pipeline",,"scrub,water,wetland","company,coworking,it",,,,"construction,subway","copyshop,pastry","basketball,soccer,swimming,tennis",hotel,"drain,lake","drain,river,weir"
RJ005,site_134,"Police Commissionerate, Jaipur - RSPCB",26.9164092,75.7994901,13988,16,,"atm,bank,bar,bicycle_rental,cafe,clinic,community_centre,dentist,doctors,fast_food,fuel,hospital,pharmacy,place_of_worship,police,post_office,restaurant,school","bollard,fence,gate","administrative,local_authority","apartments,church,hotel,retail,roof",,,"clinic,dentist,doctor,hospital,pharmacy","bus_stop,living_street,primary,primary_link,residential,rest_area,service,tertiary,track,traffic_signals,trunk,trunk_link,unclassified",memorial,,grass,park,,,,"government,it",locality,,"platform,stop_position","construction,subway","alcohol,car,clothes,dry_cleaning,jewelry,kiosk,mall,mobile_phone,motorcycle,supermarket,travel_agency,tyres",,"guest_house,hostel,hotel,museum",,canal
TG003,site_251,"ICRISAT Patancheru, Hyderabad - TSPCB",17.5184,78.278777,28592,9,,"Reasearch_Center,bar","gate,wall",administrative,,,,,"path,residential,service,tertiary,tertiary_link,track,trunk,trunk_link,unclassified",,,"farmland,industrial",,"water_tower,works",,,research,,"generator,line,plant,substation,tower",,rail,,,,,
KL008,site_252,"Plammoodu, Thiruvananthapuram - Kerala PCB",8.5149093,76.9435879,36586,19,,"atm,bank,cafe,fuel,hospital,ice_cream,library,monastery,parking,place_of_worship,police,post_office,restaurant,school,toilets",gate,,"apartments,church,commercial,government,hospital,house,mosque,residential",electronics_repair,,hospital,"bus_stop,path,primary,residential,secondary,service,services,tertiary,traffic_signals","castle,memorial,monument",,"commercial,residential","fitness_centre,garden,pitch,playground",,,"water,wood","company,educational_institution,financial,government,insurance,political_party,telecommunication","neighbourhood,plot,suburb",,platform,proposed,"baby_goods,bakery,clothes,electrical,furniture,greengrocer,hifi,jewelry,mobile_phone,motorcycle,motorcycle_repair,oilchips,seafood,shoes,sports,supermarket",cricket,"apartment,artwork,hostel,hotel,museum",pond,"river,stream"
JH001,site_254,"Tata Stadium, Jorapokhar - JSPCB",23.707909,86.41467,5079,8,,hospital,,,stadium,,,,"residential,service,tertiary,trunk",,,residential,"pitch,stadium",,,,,suburb,,,"level_crossing,rail,razed",,cricket,,,
PB001,site_256,"Golden Temple, Amritsar - PPCB",31.62,74.876512,3793,12,,"atm,bank,bench,cafe,cloakroom,drinking_water,fast_food,fountain,library,marketplace,motorcycle_parking,parking,parking_entrance,place_of_worship,post_office,public_bath,restaurant,toilets","bollard,entrance,fence,kerb,wall",,"gurdwara,parking,roof",,,,"bus_stop,footway,pedestrian,residential,service,steps,tertiary","memorial,monument",,,"garden,outdoor_seating,park","pier,tower,water_tap,water_tower,water_well",,"tree,water",,,,platform,,"bakery,clothes,confectionery,convenience,department_store,gift,mall,shoes,supermarket,tea,ticket",,"attraction,guest_house,hostel,hotel,information,museum","pond,reservoir",
AP005,site_260,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3,18961,19,,"atm,bank,bar,college,community_centre,dentist,hospital,pharmacy,place_of_worship,post_office,restaurant,school,taxi,veterinary_pharmacy","entrance,gate,wall",local_authority,"apartments,commercial,hotel,house,residential,retail",,,"centre,dentist,hospital,pharmacy","bus_stop,crossing,cycleway,footway,path,primary,residential,secondary,service,sidewalk,street_lamp,tertiary,tertiary_link",,,"commercial,grass,residential,retail","fitness_centre,garden,park,playground","mast,surveillance,tower,water_tower",,"tree,tree_row,water","company,energy_supplier,financial,government,insurance,ngo,security","neighbourhood,suburb",transformer,"2,platform",,"alcohol,appliance,bag,bakery,books,car_parts,clothes,confectionery,electrical,electronics,furniture,general,gift,hairdresser,household_linen,jewelry,mall,mobile_phone,mobile_phone_accessories,motorcycle,motorcycle_repair,pet,shoes,watches,water",yoga,"aquarium,artwork,hostel,hotel",pond,drain
KA005,site_165,"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,93394,18,,"atm,bank,bus_station,cafe,college,fast_food,hospital,motorcycle_parking,parking,parking_entrance,pharmacy,place_of_worship,restaurant,school,taxi,toilets,vending_machine,waste_basket","gate,kerb","administrative,postal_code","apartments,commercial,hospital,industrial,roof,train_station,transportation,warehouse",,,"hospital,pharmacy","bus_stop,crossing,elevator,footway,living_street,primary,primary_link,residential,secondary,service,steps,tertiary,traffic_signals,unclassified","memorial,railway_car",,"commercial,construction,industrial,railway,recreation_ground,residential","fitness_centre,garden,park,pitch,playground,swimming_pool","antenna,gantry,mast,reservoir_covered,surveillance,water_tap,water_tower,water_works",,"grassland,tree,water,wood","government,travel_agent",,cable,"platform,station,stop_area,stop_position","buffer_stop,level_crossing,platform,proposed,rail,station,stop,subway,subway_entrance,switch,workshop","car,clothes,ticket,travel_agency","badminton,basketball,climbing,skateboard,tennis","aquarium,artwork,hostel,hotel",,
KA010,site_166,"Sanegurava Halli, Bengaluru - KSPCB",12.990328,77.5431385,45012,18,,"atm,bank,cafe,clinic,college,community_centre,dentist,drinking_water,events_venue,fast_food,fuel,hospital,ice_cream,language_school,pharmacy,place_of_worship,police,post_office,restaurant,school,toilets","gate,kerb","administrative,postal_code","apartments,college,commercial,hospital,roof,school",,phone,"clinic,dentist,hospital","bus_stop,crossing,footway,living_street,residential,secondary,service,steps,tertiary",,,"commercial,education,industrial,recreation_ground,religious,residential","fitness_centre,park,pitch,playground,sports_centre",,,"grassland,water",government,"neighbourhood,suburb","line,tower,transformer","platform,stop_area,stop_position",,"alcohol,bakery,beauty,clothes,customer_service,dairy,eye_care,fast_food,furniture,hairdresser,jewelry,kitchen,medical_supply,mobile_phone,pastry,photo,seafood,tea,watches",,hotel,drain,drain
TG001,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",17.540891,78.358528,17941,9,,"bank,childcare,fuel,hospital,school","gate,wall",administrative,house,,,,"primary,primary_link,residential,secondary,service,unclassified",,,"college,industrial,residential","pitch,swimming_pool",,,grassland,,,,,,,"basketball,skateboard",,,
BR007,site_157,"IGSC Planetarium Complex, Patna - BSPCB",25.610369,85.132568,8273,16,,"cafe,clinic,college,dentist,doctors,fast_food,fuel,hospital,parking,place_of_worship,restaurant",gate,local_authority,"apartments,hotel",,,"centre,hospital","footway,living_street,primary,residential,secondary,secondary_link,service,tertiary,trunk,trunk_link","archaeological_site,memorial",,grass,"garden,park",,,water,"company,government",,,,"construction,proposed","jewelry,mall",,"artwork,attraction,hotel,museum","pond,reservoir",canal
TG004,site_275,"IDA Pashamylaram, Hyderabad - TSPCB",17.5316895,78.218939,708,3,,,gate,,,,,,"residential,service,tertiary,track,unclassified",,,,,,,,,,"line,tower",,,,,,,
UP014,site_277,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,17160,13,,"atm,bank,bus_station,cafe,cinema,clinic,college,fast_food,fuel,hospital,place_of_worship,police,restaurant,school,toilets","gate,wall",,"apartments,residential,roof",,,hospital,"corridor,living_street,primary,residential,service,tertiary,tertiary_link",,,"commercial,residential","common,park",water_tower,,,government,,,"station,stop_area,stop_position","station,subway","car_parts,general,mobile_phone,sports",,hotel,,
TG005,site_294,"Sanathnagar, Hyderabad - TSPCB",17.4559458,78.4332152,41244,14,,"atm,bank,cafe,childcare,cinema,clinic,doctors,fuel,hospital,marketplace,restaurant,theatre","gate,lift_gate,wall",administrative,"apartments,commercial,residential,retail",,,"blood_bank,clinic,doctor,hospital","living_street,path,residential,secondary,service,tertiary,track,trunk,trunk_link",,,"commercial,industrial,residential","fitness_centre,park",,,tree,"energy_supplier,financial",neighbourhood,,"station,stop_area,stop_position","level_crossing,rail,station,stop,subway","car,clothes,electronics,motorcycle,supermarket",,,,
WB011,site_296,"Rabindra Bharati University, Kolkata - WBPCB",22.627847,88.380669,29897,10,,"clinic,fast_food,fuel,hospital,place_of_worship,police,university",gate,,"commercial,industrial",,,"clinic,hospital","bus_stop,living_street,primary,residential,service,tertiary",,,recreation_ground,,,,water,,,,platform,,,,hostel,pond,
UP016,site_297,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,20375,6,,"clinic,college,hospital,place_of_worship,school",,,,,,,"path,residential,secondary,secondary_link,service,tertiary",,,"commercial,industrial,residential",park,,,,,,,,"crossing,level_crossing,rail,switch",,,,,drain
TG006,site_298,"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,86197,11,,"atm,bank,clinic,health_post,parking,place_of_worship","gate,wall",,,,,clinic,"living_street,path,residential,secondary,secondary_link,service,tertiary,track,trunk,trunk_link",,,"park,residential",park,,,,government,neighbourhood,,,,ticket,,"guest_house,zoo",,drain
DL002,site_301,"Anand Vihar, Delhi - DPCC",28.647622,77.315809,264479,16,,"atm,bench,bus_station,charging_station,cinema,drinking_water,fast_food,fuel,parking,pharmacy,police,restaurant,taxi,ticket_validator,toilets,waste_basket","block,gate,lift_gate,toll_booth,wall","administrative,administrative_cooperation","apartments,roof,service,shed,train_station",,,,"bus_stop,elevator,footway,path,pedestrian,residential,secondary,secondary_link,service,steps,traffic_signals",,,"commercial,industrial,railway,residential,retail",park,"antenna,flagpole,mast,storage_tank,surveillance,tower,utility_pole,wastewater_plant",,"tree,wood","bus_inspector,company",,"catenary_mast,portal,substation,tower","platform,station,stop_area,stop_position","crossing,level_crossing,platform,rail,signal,station,stop,subway,subway_entrance,switch","convenience,florist,kiosk,supermarket",,information,,canal
TN003,site_306,"Manali, Chennai - CPCB",13.164544,80.26285,2729,11,,"clinic,college,dentist,hospital,restaurant","gate,wall","administrative,water_distribution",,,,"centre,clinic,dentist,hospital","living_street,path,residential,secondary,service,tertiary",,,"industrial,residential",resort,,,"water,wetland",,"neighbourhood,suburb",,,rail,,,,pond,
GJ001,site_308,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,8434,11,,"bank,bus_station,clinic,doctors,hospital,parking,place_of_worship,post_office",gate,,apartments,,,centre,"bus_stop,living_street,primary,residential,secondary,secondary_link,service,steps,tertiary,tertiary_link",,,"industrial,residential",park,storage_tank,,,,"locality,suburb",,station,,,,attraction,,
WB013,site_309,"Victoria, Kolkata - WBPCB",22.5448082,88.3403691,19532,16,helipad,"college,fast_food,hospital,police,theatre,toilets","fence,gate",,,,fire_hydrant,hospital,"crossing,footway,motorway,motorway_junction,residential,secondary,service,trunk,trunk_link","fort,monument",,"construction,grass,industrial,military,recreation_ground,residential","garden,golf_course,park,pitch,stadium,track",,,"tree,water,wood",,suburb,,,"construction,tram",ticket,"horse_racing,polo","artwork,attraction,gallery,guest_house,hostel,museum,viewpoint",pond,
RJ004,site_1393,"Adarsh Nagar, Jaipur - RSPCB",26.902909,75.836858,15893,15,,"cafe,cinema,clinic,community_centre,fast_food,food_court,fountain,hospital,parking,place_of_worship,police,school","gate,wall","administrative,local_authority","detached,house",,,"clinic,hospital","bus_stop,path,residential,service,tertiary,traffic_signals,trunk,trunk_link",,,"cemetery,grass,retail","park,pitch",water_tower,,"tree,tree_row","it,political_party",neighbourhood,,"2,platform,stop_position",,"clothes,mall,supermarket",basketball,,,
RJ006,site_1396,"Shastri Nagar, Jaipur - RSPCB",26.9502929,75.730943,54365,8,,"fuel,hospital,police",gate,"administrative,local_authority",,,,,"bus_stop,primary,primary_link,residential,service,tertiary,trunk",,,"brownfield,greenfield,residential",,storage_tank,,,,,"line,tower",platform,,,,,,
UP015,site_1405,"Nishant Ganj, Lucknow - UPPCB",26.871428,80.957145,22245,16,,"bank,bar,bench,cinema,college,dentist,doctors,hospital,ice_cream,parking,pharmacy,place_of_worship,police,post_office,public_building,restaurant,school,shelter","bollard,gate",,"apartments,house,school",,,"dentist,doctor,laboratory,pharmacy","bus_stop,construction,crossing,elevator,footway,living_street,path,primary,residential,secondary,service,steps,street_lamp,tertiary,unclassified",,,"cemetery,commercial,residential","park,pitch,sports_centre","stage,storage_tank",,,"accountant,educational_institution,government","neighbourhood,suburb",pole,"platform,station,stop_area,stop_position","buffer_stop,level_crossing,platform,rail,station,stop,subway,subway_entrance","bakery,car,car_repair,clothes,confectionery,dry_cleaning,general,hairdresser,houseware,jewelry,mall,mobile_phone,motorcycle,optician,pet,stationery,supermarket,toys,watches","basketball,tennis",hostel,,
AP001,site_1406,"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,4270,12,"helipad,heliport","fire_station,parking,police,school,toilets",hedge,,"government,government_office,house",,,,"bus_stop,residential,service,tertiary,unclassified",,,"construction,governmental,grass","garden,park",,,"water,wood",government,,line,platform,,,,,,drain
OD002,site_1408,"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021,452,4,,,,,,,,,"service,tertiary,unclassified",,,residential,,,,water,,,,,rail,,,,,
OD001,site_1410,"GM Office, Brajrajnagar - OSPCB",21.8004996,83.8396977,1072,2,,,,"administrative,public_transport",,,,,,,,,,,,,,,,,,,,,,river
DL003,site_1420,"Ashok Vihar, Delhi - DPCC",28.695381,77.181665,12717,11,,"bank,blood_bank,clinic,events_venue,fast_food,hospital,parking,recycling,restaurant,school","gate,lift_gate,wall","administrative,political",,,,"centre,hospital,laboratory","crossing,footway,residential,secondary,secondary_link,service,tertiary",,,"commercial,construction,industrial,residential",park,,,,,neighbourhood,,,"construction,proposed,rail","dairy,florist,hairdresser,tobacco",,hotel,,
DL009,site_1421,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484,3803,12,,"bicycle_rental,parking,toilets",gate,protected_area,"roof,shed",,,,"path,residential,service,tertiary,track",,,plant_nursery,"bird_hide,park,sports_centre",,,scrub,,,"line,tower",,,ticket,shooting,information,,
